#OTU ID,Actinokineospora,Amycolatopsis,Aeromicrobium,Anaeromyxobacter,Anaerospora,Arthrobacter,Azoarcus,Bacillus,Corallococcus,Dechloromonas,Desulfococcus,Dokdonella,Geodermatophilus,Glycomyces,Haliangium,Haloactinospora,Halomonas,Inquilinus,Jiangella,Luteolibacter,Lysobacter,Methylibium,Methylobacterium,Methylobacillus,Methylotenera,Methylonatrum,Methylophaga,Mycobacterium,Nocardia,Nocardioides,Paenibacillus,Paracoccus,Phaeobacter,Phaeospirillum,Pimelobacter,Pleomorphomonas,Prauseria,Promicromonospora,Pseudomonas,Pseudonocardia,Ralstonia,Rhodanobacter,Rhodococcus,Rhodoplanes,Rhodospirillum,Rhodovibrio,Rubellimicrobium,Saccharopolyspora,Sphingomonas,Sporocytophaga,Streptomyces,Thermomonas,Variovorax,class
LP.16,0,0.017713366,4.69E-05,0,0,0.000234511,0,0.004658943,0.000500289,0,0,0,0.000187608,0.001313259,0,3.13E-05,0.000609727,0.000375217,0.003658365,0,0,0,0,0,0,0,4.69E-05,0.007754483,0.000203242,0,0.000406485,3.13E-05,1.56E-05,0,0.000187608,4.69E-05,0,0,0.003877242,0.003548927,0.000437753,0,1.56E-05,0.009865078,0,0,3.13E-05,0.001188187,0.000203242,0.000109438,0.0066601,0,0,0
LP.17,0,0.000382689,0,0,1.16E-05,4.64E-05,0,0.002342518,5.80E-05,0,0,0,0.000173949,3.48E-05,0,0,0.000231932,2.32E-05,0,0,3.48E-05,0,1.16E-05,0,0,0,1.16E-05,0.000139159,0.000324705,0,0.000127563,2.32E-05,0,0,0,0,0,0,0.008720661,0.000603024,0.000834957,0,0,2.32E-05,5.80E-05,0,3.48E-05,0.000324705,0.000243529,9.28E-05,0.000185546,0,1.16E-05,0
LP.18,0,0.001473848,0.001158827,0,4.50E-05,0.001530101,0,0.00090006,1.13E-05,0,0,0,6.75E-05,3.38E-05,0,0,0.000540036,4.50E-05,3.38E-05,0,0,0,0.000112507,0,0,0,2.25E-05,0.000371275,0.000483782,0.00014626,3.38E-05,0.000191263,0,0,0.001395092,7.88E-05,0,0,0.008978095,0.000281269,0.001091322,0,0,1.13E-05,0,4.50E-05,0.000281269,1.13E-05,0.000337522,1.13E-05,0.000292519,0,0.000258767,0
LP.19,0,0.004791913,0,0,0,0.000105028,3.94E-05,0.009019299,0,0,0,0,1.31E-05,0.002271235,1.31E-05,0,0.000590784,0.000393856,0.010489694,0,1.31E-05,0,1.31E-05,0,0,0,0,0.002560063,0.000695812,0,0.019495865,6.56E-05,0,0,5.25E-05,0,0,0,0.020204805,0.005146383,0.002389392,0,0,1.31E-05,0,0,1.31E-05,0.000525141,0.000682683,1.31E-05,0.016450046,0,3.94E-05,0
LP.20,0,0.002726825,6.01E-05,3.60E-05,0,0.001885954,0,0.005513712,9.61E-05,0,0,0,0.000816846,7.21E-05,0,0,0.000552572,0.000792821,3.60E-05,0,0,0,2.40E-05,0,0,0,1.20E-05,0.006294521,0.00044446,0.000168174,0.000936971,2.40E-05,1.20E-05,0,0.010066429,0,0,1.20E-05,0.010174541,0.00171778,0.000804834,0,0,0.000108112,0,0,0.000132137,0.000384398,0.000228236,0.000120124,0.020469206,0,0.000324336,0
LP.21,0,0.002705194,1.21E-05,0,0,0.000145571,0,0.003105515,9.70E-05,0,0,0,7.28E-05,0.001783245,0,0,0.005507436,0.000618677,0.000691462,0,0,0,2.43E-05,0,0,0,3.64E-05,0.000363928,0.000206226,0,0.001431448,2.43E-05,0,0,8.49E-05,0,1.21E-05,0,0.005895626,6.07E-05,0.000460975,0,0,3.64E-05,0,0,2.43E-05,1.21E-05,0.000230487,0.000254749,0.001637674,0,1.21E-05,0
LP.22,0,0.000487483,0,0,4.33E-05,0.000140828,0,0.004885658,4.33E-05,0,0,0,0.000173327,0,0,0,0.000465817,0.00102913,0.000140828,0,0.000227492,0,6.50E-05,0,0,0,0,0.000595812,0.000303322,0,0.000866636,0,0,0,0,0,0,0,0.015794434,0.000259991,0.00102913,0,0,0.000162494,0,0,3.25E-05,1.08E-05,0.000400819,0.000877469,0.003379879,1.08E-05,8.67E-05,1
LP.23,4.33E-05,0.055165323,1.08E-05,0,2.16E-05,1.08E-05,0,0.002478489,1.08E-05,0,0,0,0.000227285,7.58E-05,0,0,0.000519509,0.00017317,0.0001407,0,0,0,7.58E-05,0,0,0,1.08E-05,0.001850749,0.000378808,0,0.000183993,1.08E-05,0,0,6.49E-05,0,0,0,0.01003301,0.000703501,0.00090914,0,0,3.25E-05,0,1.08E-05,5.41E-05,2.16E-05,0.00031387,2.16E-05,0.000443747,0,0,1
LP.24,2.13E-05,0.003594207,2.13E-05,0,2.13E-05,0.000309294,0,0.002719652,2.13E-05,0,0,0,0.000298628,0.000138649,0,0,0.0005226,0.000234637,0.00034129,0,1.07E-05,0,1.07E-05,0,0,0,2.13E-05,0.054755658,0.000330624,0.000298628,6.40E-05,0,0,0,0.003380901,0,3.20E-05,0,0.015827307,0.000853224,0.001482477,0,1.07E-05,0.001237175,0,1.07E-05,1.07E-05,2.13E-05,0.0005226,8.53E-05,0.072577377,0,0.000255967,1
LP.25,0,0.005886765,0.000102736,6.16E-05,0.000102736,0.000308208,0,0.007746284,0,0,0,0,2.05E-05,0.029824219,0,0,0.012112557,2.05E-05,0.005825123,0,9.25E-05,0,0.000277387,0,0,0,4.11E-05,0.000359575,0.00123283,3.08E-05,0.001171189,2.05E-05,0,0,6.16E-05,0,0,0,0.037868436,0.000236292,0.003883415,0,0,3.08E-05,3.08E-05,0,0,0.000770519,0.001407481,3.08E-05,0.001510217,0,1.03E-05,0
